label,skill_a,skill_b,compound_cost,start_spiritus_a,start_spiritus_b,information,future_fights,recovery,parry,durch_cost,timing,seed,enter_fight_1,leave_fight_1,focal_spend_fight_1,focal_durch_fight_1,focal_compound_fight_1,focal_parry_fight_1,focal_counter_fight_1,enter_fight_2,leave_fight_2,focal_spend_fight_2,focal_durch_fight_2,focal_compound_fight_2,focal_parry_fight_2,focal_counter_fight_2,enter_fight_3,leave_fight_3,focal_spend_fight_3,focal_durch_fight_3,focal_compound_fight_3,focal_parry_fight_3,focal_counter_fight_3,unused_spiritus_after_fight_3_mean
skill10_C1_R0,10,10,1,8,8,adaptive_revelation,0,R0,P1,1,pre,8413057,8.0,7.4375,0.5625,0.11325,0.44925,0.246625,0.232125,7.4375,6.824125,0.613375,0.137,0.476375,0.243125,0.215875,6.824125,6.14425,0.679875,0.1655,0.514375,0.21525,0.194,6.14425
skill10_C2_R0,10,10,2,8,8,adaptive_revelation,0,R0,P1,1,pre,8414088,8.0,7.5295,0.4705,0.074,0.19825,0.373375,0.3275,7.5295,6.834875,0.694625,0.108375,0.293125,0.32825,0.294875,6.834875,5.926,0.908875,0.149125,0.379875,0.267,0.248,5.926
skill14_C1_R0,14,14,1,8,8,adaptive_revelation,0,R0,P1,1,pre,8415075,8.0,7.08525,0.91475,0.316125,0.598625,0.212,0.24325,7.08525,6.126875,0.958375,0.33125,0.627125,0.20325,0.231625,6.126875,5.1465,0.980375,0.35225,0.628125,0.189375,0.2375,5.1465
skill14_C2_R0,14,14,2,8,8,adaptive_revelation,0,R0,P1,1,pre,8416106,8.0,6.9265,1.0735,0.29625,0.388625,0.28925,0.3185,6.9265,5.737375,1.189125,0.304625,0.44225,0.277,0.298375,5.737375,4.4225,1.314875,0.326625,0.494125,0.2365,0.2705,4.4225
skill18_C1_R0,18,18,1,8,8,adaptive_revelation,0,R0,P1,1,pre,8417093,8.0,6.8515,1.1485,0.43525,0.71325,0.202375,0.276125,6.8515,5.671625,1.179875,0.451625,0.72825,0.19675,0.25925,5.671625,4.48025,1.191375,0.45975,0.731625,0.192875,0.268625,4.48025
skill18_C2_R0,18,18,2,8,8,adaptive_revelation,0,R0,P1,1,pre,8418124,8.0,6.532125,1.467875,0.393375,0.53725,0.246,0.310375,6.532125,4.99475,1.537375,0.423625,0.556875,0.23125,0.30375,4.99475,3.4745,1.52025,0.4415,0.539375,0.23675,0.3235,3.4745
