skill,parry,durch_cost,compound_cost,start_spiritus,information,timing,recovery,future_fights,basic_parry_declarations_per_fight,basic_parry_after_known_per_fight,basic_parry_after_known_opportunity_rate,basic_parry_defensive_opportunity_rate,basic_parry_success_rate_when_rolled,parry_interruption_rate,parry_durch_decline_fraction,durch_declaration_rate,durch_decline_rate,durch_success_rate,durch_damage_per_fight,durch_spiritus_per_fight,compound_spiritus_per_fight,total_spiritus_per_fight,mean_end_spiritus_per_combatant,end_at_0_rate,end_at_1_2_rate,unused_spirit_at_defeat_mean,allow_parry_hit_chance_mean,durch_success_chance_mean,accepted_actor_spirit_mean,accepted_opponent_spirit_mean,declined_actor_spirit_mean,declined_opponent_spirit_mean
10,P1,1,1,5,adaptive_revelation,pre,R0,0,0.43225,0.02925,0.24425887265135698,0.21691130347509724,0.4976851851851852,0.25043377674956624,0.7495662232504338,0.43738914508691024,0.5626108549130897,0.3357664233576642,0.48175,0.30825,1.02825,1.3365,4.33175,0.0,0.014875,4.304761904761905,0.5,0.42540529853697157,4.75750202757502,4.098134630981346,4.738335435056746,4.560529634300126
10,P1,1,1,5,adaptive_revelation,post,R0,0,0.3935,0.01125,0.07389162561576355,0.2015106900524901,0.4993646759847522,0.45235069885641677,0.04701397712833545,0.8165745856353591,0.18342541436464088,0.38227334235453314,0.63925,0.3695,1.02525,1.39475,4.302625,0.0,0.02,4.271976687712482,0.0,0.38653350515463875,4.7442489851150205,4.2212449255751014,4.728915662650603,4.021084337349397
14,P1,1,1,5,adaptive_revelation,pre,R0,0,0.398,0.0165,0.05441055234954658,0.1767121767121767,0.6964980544747081,0.8385678391959799,0.1614321608040201,0.827906976744186,0.17209302325581396,0.5301966292134831,1.686,0.712,1.29925,2.01125,3.994375,0.00025,0.04825,4.108731858196526,0.30000000000000776,0.5435909822866486,4.659058988764045,4.124648876404494,4.694256756756757,4.175675675675675
14,P1,1,1,5,adaptive_revelation,post,R0,0,0.373,0.00375,0.014258555133079848,0.1727451661456524,0.688337801608579,0.6655495978552279,0.022788203753351208,0.87248322147651,0.12751677852348994,0.49230769230769234,1.351,0.6175,1.24675,1.86425,4.067875,0.000375,0.04075,4.172824791418355,0.0,0.506050319488827,4.676923076923077,4.082995951417004,4.695290858725762,3.8282548476454292
18,P1,1,1,5,adaptive_revelation,pre,R0,0,0.39475,0.00125,0.0028216704288939053,0.16002837741968176,0.9565217391304348,0.9854338188727042,0.014566181127295756,0.9021095046219483,0.09789049537805167,0.6502890173410405,2.80425,0.9515,1.47275,2.42425,3.787875,0.0,0.075,4.065547002565897,0.09999999999999704,0.6533298511360843,4.599579611140305,4.041513399894903,4.656174334140436,3.7336561743341403
18,P1,1,1,5,adaptive_revelation,post,R0,0,0.3845,0.00125,0.002963841138114997,0.1552907915993538,0.9135240572171651,0.9070221066319896,0.006501950585175552,0.9106172839506173,0.08938271604938272,0.6393709327548807,2.6685,0.922,1.48775,2.40975,3.795125,0.00025,0.066375,4.064922933208781,0.0,0.6397917793401992,4.6000542299349245,4.015997830802603,4.610497237569061,3.6408839779005526
