skill,parry,durch_cost,compound_cost,start_spiritus,information,timing,recovery,future_fights,basic_parry_declarations_per_fight,basic_parry_after_known_per_fight,basic_parry_after_known_opportunity_rate,basic_parry_defensive_opportunity_rate,basic_parry_success_rate_when_rolled,parry_interruption_rate,parry_durch_decline_fraction,durch_declaration_rate,durch_decline_rate,durch_success_rate,durch_damage_per_fight,durch_spiritus_per_fight,compound_spiritus_per_fight,total_spiritus_per_fight,mean_end_spiritus_per_combatant,end_at_0_rate,end_at_1_2_rate,unused_spirit_at_defeat_mean,allow_parry_hit_chance_mean,durch_success_chance_mean,accepted_actor_spirit_mean,accepted_opponent_spirit_mean,declined_actor_spirit_mean,declined_opponent_spirit_mean
10,P0,0,0,8,adaptive_revelation,pre,R0,0,0.37433333333333335,0.017666666666666667,0.16510903426791276,0.19040352661919294,0.4870881567230632,0.0,0.0,0.8667334669338678,0.13326653306613226,0.24624277456647398,0.312,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.2531213872832373,8.0,8.0,8.0,8.0
10,P0,0,0,5,adaptive_revelation,pre,R0,0,0.36466666666666664,0.023,0.22847682119205298,0.18371116708648194,0.5045703839122486,0.0,0.0,0.8787575150300602,0.12124248496993988,0.23033067274800456,0.3,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.2481185860889393,5.0,5.0,5.0,5.0
10,P0,0,0,3,adaptive_revelation,pre,R0,0,0.393,0.018333333333333333,0.19572953736654805,0.19748743718592965,0.4817642069550466,0.0,0.0,0.8548864758144127,0.14511352418558737,0.25057736720554274,0.33066666666666666,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.25386836027713644,3.0,3.0,3.0,3.0
10,P0,0,0,1,adaptive_revelation,pre,R0,0,0.3883333333333333,0.023666666666666666,0.24398625429553264,0.1957983193277311,0.4858369098712446,0.0,0.0,0.8622087132725431,0.13779128672745694,0.2608695652173913,0.3313333333333333,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.24435957696827285,1.0,1.0,1.0,1.0
10,P0,0,1,8,adaptive_revelation,pre,R0,0,0.437,0.023333333333333334,0.2491103202846975,0.21334418226200164,0.5087719298245614,0.0,0.0,0.8832951945080092,0.11670480549199085,0.25,0.28633333333333333,0.0,1.099,1.099,7.4505,0.0,0.0,7.429776192020759,0.0,0.24831606217616586,7.799222797927461,6.831606217616581,7.813725490196078,6.862745098039215
10,P0,0,1,5,adaptive_revelation,pre,R0,0,0.423,0.018,0.23275862068965517,0.21563296516567546,0.49014972419227737,0.0,0.0,0.8835443037974684,0.11645569620253164,0.2335243553008596,0.23766666666666666,0.0,1.0053333333333334,1.0053333333333334,4.497333333333334,0.0,0.004166666666666667,4.482825664290344,0.0,0.2356733524355299,4.800859598853868,3.839541547277937,4.891304347826087,3.858695652173913
10,P0,0,1,3,adaptive_revelation,pre,R0,0,0.4746666666666667,0.021333333333333333,0.2782608695652174,0.23306055646481177,0.5196629213483146,0.0,0.0,0.8856749311294766,0.11432506887052342,0.24261275272161742,0.24,0.0,0.9633333333333334,0.9633333333333334,2.5183333333333335,0.0021666666666666666,0.4095,2.479909267660402,0.0,0.26111975116640734,2.7636080870917574,1.8786936236391913,2.783132530120482,1.9156626506024097
10,P0,0,1,1,adaptive_revelation,pre,R0,0,0.749,0.005333333333333333,0.5517241379310345,0.3612540192926045,0.5046728971962616,0.0,0.0,0.8835616438356164,0.11643835616438356,0.20930232558139536,0.04133333333333333,0.0,0.2806666666666667,0.2806666666666667,0.8596666666666667,0.14033333333333334,0.8596666666666667,0.8509891512444161,0.0,0.23488372093023255,0.9457364341085271,0.0,1.0,0.0
10,P0,1,0,8,adaptive_revelation,pre,R0,0,0.375,0.021333333333333333,0.24060150375939848,0.18768768768768768,0.49955555555555553,0.0,0.0,0.7647657841140529,0.23523421588594703,0.2796271637816245,0.30933333333333335,0.25033333333333335,0.0,0.25033333333333335,7.874833333333333,0.0,0.0,7.840103997400065,0.0,0.27183754993342196,7.970705725699068,7.958721704394141,7.987012987012987,7.9437229437229435
10,P0,1,0,5,adaptive_revelation,pre,R0,0,0.3913333333333333,0.018666666666666668,0.23931623931623933,0.19834431491806048,0.514480408858603,0.0,0.0,0.7463617463617463,0.25363825363825365,0.26740947075208915,0.277,0.23933333333333334,0.0,0.23933333333333334,4.880333333333334,0.0,0.0,4.851682456713492,0.0,0.26984679665738165,4.9735376044568245,4.9484679665738165,4.963114754098361,4.959016393442623
10,P0,1,0,3,adaptive_revelation,pre,R0,0,0.395,0.019333333333333334,0.21014492753623187,0.19726985183952056,0.49451476793248944,0.0,0.0,0.7262512768130746,0.27374872318692545,0.2742616033755274,0.281,0.237,0.0,0.237,2.8815,0.0,0.115,2.849705304518664,0.0,0.28080168776371267,2.970464135021097,2.9535864978902953,2.970149253731343,2.970149253731343
10,P0,1,0,1,adaptive_revelation,pre,R0,0,0.37766666666666665,0.008333333333333333,0.20833333333333334,0.1900369003690037,0.49338040600176525,0.0,0.0,0.34915924826904055,0.6508407517309595,0.3002832861189802,0.15366666666666667,0.11766666666666667,0.0,0.11766666666666667,0.9411666666666667,0.058833333333333335,0.9411666666666667,0.9287564766839378,0.0,0.3488668555240798,1.0,0.9688385269121813,0.9787234042553191,0.9848024316109423
10,P0,1,1,8,adaptive_revelation,pre,R0,0,0.437,0.012666666666666666,0.18269230769230768,0.21566047047211712,0.501906941266209,0.0,0.0,0.7659574468085106,0.23404255319148937,0.2638888888888889,0.25433333333333336,0.216,1.0753333333333333,1.2913333333333334,7.354333333333333,0.0,0.0,7.306869734283863,0.0,0.26936728395061726,7.780864197530864,6.782407407407407,7.813131313131313,6.848484848484849
10,P0,1,1,5,adaptive_revelation,pre,R0,0,0.4533333333333333,0.017,0.22767857142857142,0.22678005669501416,0.5036764705882353,0.0,0.0,0.7449238578680203,0.2550761421319797,0.29642248722316866,0.26,0.19566666666666666,1.0223333333333333,1.218,4.391,0.0,0.011833333333333333,4.323156869113348,0.0,0.27189097103918214,4.756388415672913,3.7921635434412266,4.791044776119403,3.8208955223880596
10,P0,1,1,3,adaptive_revelation,pre,R0,0,0.46266666666666667,0.014333333333333333,0.28289473684210525,0.23160353746037043,0.4899135446685879,0.0,0.0,0.7104913678618858,0.28950863213811423,0.308411214953271,0.25166666666666665,0.17833333333333334,0.9373333333333334,1.1156666666666666,2.4421666666666666,0.004666666666666667,0.4598333333333333,2.3980551053484604,0.0,0.2719626168224299,2.822429906542056,1.8485981308411215,2.770642201834862,1.8440366972477065
10,P0,1,1,1,adaptive_revelation,pre,R0,0,0.771,0.003,0.6428571428571429,0.3655761024182077,0.48119325551232167,0.0,0.0,0.36,0.64,0.2037037037037037,0.017333333333333333,0.018,0.2743333333333333,0.29233333333333333,0.8538333333333333,0.14616666666666667,0.8538333333333333,0.8479438954415046,0.0,0.34074074074074073,1.0,0.0,0.9166666666666666,0.0
10,P0,2,0,8,adaptive_revelation,pre,R0,0,0.394,0.012666666666666666,0.1958762886597938,0.20067911714770797,0.48815566835871405,0.0,0.0,0.6313559322033898,0.3686440677966102,0.24496644295302014,0.222,0.3973333333333333,0.0,0.3973333333333333,7.801333333333333,0.0,0.0,7.74656188605108,0.0,0.2823825503355704,7.973154362416107,7.906040268456376,7.936781609195402,7.936781609195402
10,P0,2,0,5,adaptive_revelation,pre,R0,0,0.37833333333333335,0.013,0.19696969696969696,0.18800728838827233,0.4845814977973568,0.0,0.0,0.6111111111111112,0.3888888888888889,0.2743801652892562,0.23366666666666666,0.4033333333333333,0.0,0.4033333333333333,4.798333333333333,0.0,0.0016666666666666668,4.735898271926964,0.0,0.29214876033057824,4.966942148760331,4.907438016528926,4.963636363636364,4.937662337662338
10,P0,2,0,3,adaptive_revelation,pre,R0,0,0.392,0.013666666666666667,0.27702702702702703,0.19541375872382852,0.4965986394557823,0.0,0.0,0.4738430583501006,0.5261569416498993,0.31634819532908703,0.218,0.314,0.0,0.314,2.843,0.0,0.0785,2.8051650866296174,0.0,0.3162420382165607,3.0,2.9447983014861996,2.950286806883365,2.94263862332696
10,P0,2,0,1,adaptive_revelation,pre,R0,0,0.38766666666666666,0.0,0.0,0.1961214165261383,0.49097162510748066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
10,P0,2,1,8,adaptive_revelation,pre,R0,0,0.42733333333333334,0.015,0.2556818181818182,0.21352431712191872,0.5132605304212169,0.0,0.0,0.6882494004796164,0.3117505995203837,0.2979094076655052,0.25066666666666665,0.38266666666666665,1.0713333333333332,1.454,7.273,0.0,0.0,7.18951481602084,0.0,0.28963414634146334,7.710801393728223,6.7665505226480835,7.753846153846154,6.765384615384615
10,P0,2,1,5,adaptive_revelation,pre,R0,0,0.451,0.01,0.18633540372670807,0.22546242292951174,0.5188470066518847,0.0,0.0,0.6009791921664627,0.3990208078335373,0.29327902240325865,0.21733333333333332,0.3273333333333333,1.0436666666666667,1.371,4.3145,0.00016666666666666666,0.0355,4.262833008447044,0.0,0.3051934826883909,4.755600814663951,3.7780040733197557,4.757668711656442,3.8067484662576687
