model,skill,start_spiritus,information,seed,wins_A,wins_B,double_defeats,draws,rounds,exchanges,defensive_opportunities,crossings,wide_crossings,close_crossings,known_zone_crossings,unknown_zone_crossings,displacement_separation_events,displacement_retained_crossing_events,crossings_persisted,crossings_cleaned_up,durch_opportunities,durch_declarations,durch_successes,durch_spiritus_spent,compound_declarations,compound_spiritus_spent,total_spiritus_spent,attempted_fourth_plays,precondition_violations,win_rate_A,average_rounds,double_defeat_rate,basic_cross_declarations_per_fight,basic_beat_declarations_per_fight,cross_success_rate,beat_success_rate,cross_interrupted_per_fight,beat_interrupted_per_fight,successful_crossings_per_fight,displacement_separation_per_fight,displacement_retained_crossing_per_fight,wide_crossings_per_fight,close_crossings_per_fight,hard_hard_crossings_per_fight,hard_soft_crossings_per_fight,soft_hard_crossings_per_fight,unknown_pressure_crossings_per_fight,known_zone_crossings_per_fight,unknown_zone_crossings_per_fight,crossings_persisted_per_fight,crossings_cleaned_up_per_fight,durch_opportunities_per_fight,durch_declarations_per_fight,durch_success_rate,compound_declarations_per_fight,spiritus_expenditure_per_fight,basic_parry_frequency,counter_frequency,ignore_frequency,learned_play_chain_length,three_play_cap_frequency,attempted_fourth_plays_per_fight
NEW_EXPLICIT,18,3,adaptive_revelation,11092116,2010,1991,999,0,14321,15810,12910,4275,4275,0,0,4275,131,0,0,4275,2312,1885,1092,1885,4440,8880,10765,0,0,0.402,2.8642,0.1998,0.073,0.0808,0.92,0.9225352112676056,0.048,0.0524,0.855,0.0262,0.0,0.855,0.0,0.023,0.0,0.0,0.832,0.0,0.855,0.0,0.855,0.4624,0.377,0.5793103448275863,0.888,2.153,0.05956622773044152,0.44089852827265685,0.008520526723470178,0.5442757748260595,0.0006957621758380771,0.0
NEW_EXPLICIT,18,3,perfect_information,11093125,1943,1947,1110,0,13325,14729,11998,3961,3961,0,0,3961,106,0,0,3961,1497,1194,787,1194,4194,8388,9582,0,0,0.3886,2.665,0.222,0.0716,0.0778,0.8962264150943396,0.8907563025210085,0.0504,0.054,0.7922,0.0212,0.0,0.7922,0.0,0.019,0.0,0.0,0.7732,0.0,0.7922,0.0,0.7922,0.2994,0.2388,0.6591289782244556,0.8388,1.9164,0.06226037672945491,0.5015002500416736,0.009001500250041674,0.4425283454409668,0.0002715730871070677,0.0
OLD_LEGACY,10,8,adaptive_revelation,11082026,726,713,61,0,6020,9147,2948,683,618,65,0,683,0,0,0,0,995,474,175,474,1041,2082,2556,0,0,0.484,4.013333333333334,0.04066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.4553333333333333,0.0,0.0,0.412,0.043333333333333335,0.0,0.0,0.0,0.4553333333333333,0.0,0.4553333333333333,0.0,0.0,0.6633333333333333,0.316,0.3691983122362869,0.694,1.704,0.5210312075983717,0.27544097693351427,0.029850746268656716,0.3661309719033563,0.004154367552202908,0.0
OLD_LEGACY,10,8,perfect_information,11083035,709,732,59,0,6122,9265,3039,796,717,79,0,796,0,0,0,0,1017,418,173,418,1055,2110,2528,0,0,0.4726666666666667,4.081333333333333,0.03933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5306666666666666,0.0,0.0,0.478,0.05266666666666667,0.0,0.0,0.0,0.5306666666666666,0.0,0.5306666666666666,0.0,0.0,0.678,0.2786666666666667,0.4138755980861244,0.7033333333333334,1.6853333333333333,0.5745310957551826,0.28627838104639686,0.031918394208621255,0.27965461413923365,0.0023745277927684836,0.0
OLD_LEGACY,10,3,adaptive_revelation,11084044,714,713,73,0,6357,9755,3042,743,652,91,0,743,0,0,0,0,1117,334,150,334,550,1100,1434,0,0,0.476,4.238,0.048666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.49533333333333335,0.0,0.0,0.43466666666666665,0.06066666666666667,0.0,0.0,0.0,0.49533333333333335,0.0,0.49533333333333335,0.0,0.0,0.7446666666666667,0.22266666666666668,0.4491017964071856,0.36666666666666664,0.956,0.6620644312952005,0.32084155161078237,0.04142011834319527,0.31091747821629934,0.0015376729882111738,0.0
OLD_LEGACY,10,3,perfect_information,11085053,725,687,88,0,6231,9503,3032,744,648,96,0,744,0,0,0,0,1187,308,140,308,542,1084,1392,0,0,0.48333333333333334,4.154,0.058666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,0.432,0.064,0.0,0.0,0.0,0.496,0.0,0.496,0.0,0.0,0.7913333333333333,0.20533333333333334,0.45454545454545453,0.36133333333333334,0.928,0.7506596306068601,0.34366754617414247,0.040237467018469655,0.21729980006313795,0.0006313795643481006,0.0
OLD_LEGACY,14,8,adaptive_revelation,11086062,697,683,120,0,4597,6025,3203,803,791,12,0,803,0,0,0,0,789,690,305,690,1640,3280,3970,0,0,0.4646666666666667,3.0646666666666667,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.5353333333333333,0.0,0.0,0.5273333333333333,0.008,0.0,0.0,0.0,0.5353333333333333,0.0,0.5353333333333333,0.0,0.0,0.526,0.46,0.4420289855072464,1.0933333333333333,2.6466666666666665,0.15735248204807992,0.3234467686543865,0.01810802372775523,0.5014107883817427,0.006307053941908713,0.0
OLD_LEGACY,14,8,perfect_information,11087071,698,665,137,0,4538,5962,3153,857,848,9,0,857,0,0,0,0,561,485,250,485,1441,2882,3367,0,0,0.4653333333333333,3.025333333333333,0.09133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.5713333333333334,0.0,0.0,0.5653333333333334,0.006,0.0,0.0,0.0,0.5713333333333334,0.0,0.5713333333333334,0.0,0.0,0.374,0.3233333333333333,0.5154639175257731,0.9606666666666667,2.244666666666667,0.19410085632730734,0.3840786552489692,0.016809387884554394,0.3955048641395505,0.0023482053002348204,0.0
OLD_LEGACY,14,3,adaptive_revelation,11088080,650,666,184,0,4805,6298,3358,921,888,33,0,921,0,0,0,0,777,524,299,524,978,1956,2480,0,0,0.43333333333333335,3.203333333333333,0.12266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.614,0.0,0.0,0.592,0.022,0.0,0.0,0.0,0.614,0.0,0.614,0.0,0.0,0.518,0.34933333333333333,0.5706106870229007,0.652,1.6533333333333333,0.29184038117927336,0.3904109589041096,0.022036926742108397,0.4129882502381709,0.002381708478882185,0.0
OLD_LEGACY,14,3,perfect_information,11089089,686,647,167,0,4626,6069,3223,874,843,31,0,874,0,0,0,0,683,431,251,431,962,1924,2355,0,0,0.4573333333333333,3.084,0.11133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.5826666666666667,0.0,0.0,0.562,0.020666666666666667,0.0,0.0,0.0,0.5826666666666667,0.0,0.5826666666666667,0.0,0.0,0.4553333333333333,0.28733333333333333,0.5823665893271461,0.6413333333333333,1.57,0.326403971455166,0.4439962767607819,0.01861619609059882,0.3219640797495469,0.001812489701763058,0.0
OLD_LEGACY,18,8,adaptive_revelation,11090098,657,655,188,0,3969,4420,3538,1170,1169,1,0,1170,0,0,0,0,860,826,348,826,1991,3982,4808,0,0,0.438,2.646,0.12533333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.7793333333333333,0.0006666666666666666,0.0,0.0,0.0,0.78,0.0,0.78,0.0,0.0,0.5733333333333334,0.5506666666666666,0.4213075060532688,1.3273333333333333,3.2053333333333334,0.026568682871678916,0.35472018089316,0.0070661390616167325,0.7142533936651584,0.0018099547511312218,0.0
OLD_LEGACY,18,8,perfect_information,11091107,618,633,249,0,3803,4194,3432,1264,1263,1,0,1264,0,0,0,0,459,437,221,437,1733,3466,3903,0,0,0.412,2.5353333333333334,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.8426666666666667,0.0,0.0,0.842,0.0006666666666666666,0.0,0.0,0.0,0.8426666666666667,0.0,0.8426666666666667,0.0,0.0,0.306,0.29133333333333333,0.505720823798627,1.1553333333333333,2.602,0.02972027972027972,0.4344405594405594,0.006993006993006993,0.5603242727706247,0.0016690510252742013,0.0
OLD_LEGACY,18,3,adaptive_revelation,11092116,614,598,288,0,4008,4404,3626,1204,1200,4,0,1204,0,0,0,0,582,496,249,496,1278,2556,3052,0,0,0.4093333333333333,2.672,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.8026666666666666,0.0,0.0,0.8,0.0026666666666666666,0.0,0.0,0.0,0.8026666666666666,0.0,0.8026666666666666,0.0,0.0,0.388,0.33066666666666666,0.5020161290322581,0.852,2.034666666666667,0.05515719801434087,0.456150027578599,0.007997793712079426,0.554268846503179,0.0018165304268846503,0.0
OLD_LEGACY,18,3,perfect_information,11093125,587,596,317,0,3796,4183,3432,1129,1125,4,0,1129,0,0,0,0,323,255,145,255,1213,2426,2681,0,0,0.3913333333333333,2.530666666666667,0.21133333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.7526666666666667,0.0,0.0,0.75,0.0026666666666666666,0.0,0.0,0.0,0.7526666666666667,0.0,0.7526666666666667,0.0,0.0,0.21533333333333332,0.17,0.5686274509803921,0.8086666666666666,1.7873333333333334,0.05827505827505827,0.5346736596736597,0.009032634032634032,0.42218503466411667,0.0007171886206072197,0.0
